City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.37,few clouds,-9.8,-139.03,Villa Enata
2,Bose,IT,66.99,overcast clouds,45.46,8.01,Locanda Borgo Antico
4,Houma,US,80.01,clear sky,29.6,-90.72,Days Inn by Wyndham Houma LA
7,Padang,ID,83.73,broken clouds,-0.95,100.35,Mercure Padang
8,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
9,Babakan,ID,80.89,clear sky,-7.28,107.22,Jack Whorsop
10,Rabat,MA,73.4,broken clouds,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
12,Kodiak,US,66.2,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
18,Souillac,MU,69.8,scattered clouds,-20.52,57.52,Bils' Villa
19,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.08,Scoop Guest House
21,Butaritari,KI,81.95,overcast clouds,3.07,172.79,Isles Sunset Lodge
22,Waingapu,ID,84.16,clear sky,-9.66,120.26,Pondok Wisata Elim
23,Lazaro Cardenas,MX,80.44,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
27,Banamba,ML,74.91,moderate rain,13.55,-7.45,Kassela de Banamba
29,Jamestown,US,73.4,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
30,Puerto Escondido,MX,77.0,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
31,Matay,EG,75.88,clear sky,28.42,30.78,Nag Aespen
32,Vao,NC,69.15,clear sky,-22.67,167.48,Hotel Kou-Bugny
35,Belmonte,BR,66.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
39,Xichang,CN,69.66,few clouds,27.9,102.26,Xichang ibis Hotel
40,Half Moon Bay,US,80.6,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
43,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
50,Bengkulu,ID,82.49,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
52,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
54,Joshimath,IN,73.02,broken clouds,30.57,79.57,Shivalik Camps & Resort
57,Carnarvon,AU,66.2,clear sky,-24.87,113.63,Hospitality Carnarvon
59,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
60,Rikitea,PF,72.12,light rain,-23.12,-134.97,Pension Maro'i
62,Cedar Lake,US,81.0,clear sky,41.36,-87.44,Cedar Lake Ministries RV Park
63,Kikwit,CD,75.31,light rain,-5.04,18.82,Centre D'Accueil Protestant
70,Jalu,LY,75.99,clear sky,29.03,21.55,Jalu Hotel
71,Quatre Cocos,MU,69.8,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
74,San Quintin,MX,73.74,clear sky,30.48,-115.95,Old Mill Hotel
75,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
77,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
78,Xai-Xai,MZ,65.77,clear sky,-25.05,33.64,Platinum Hotel
79,Saint-Philippe,RE,68.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
80,Saint Anthony,US,81.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
84,Depalpur,IN,73.4,mist,22.85,75.55,Nakshatra City
86,Caravelas,BR,68.52,clear sky,-17.71,-39.25,Pousada dos Navegantes
89,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
93,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
94,Chaihe,CN,77.43,scattered clouds,44.77,129.7,Fengyuan Hotel
100,Komsomolskiy,UZ,78.8,clear sky,40.43,71.72,Ikathouse
102,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
105,Lompoc,US,73.4,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
107,Pomorie,BG,69.01,clear sky,42.56,27.64,Spa Hotel St. George
109,Sao Filipe,CV,78.03,few clouds,14.9,-24.5,Tortuga B&B
110,Lagoa,PT,73.44,broken clouds,39.05,-27.98,Casa Das Faias
112,Puerto Ayora,EC,66.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
113,Lumby,CA,70.0,overcast clouds,50.25,-118.97,Twin Creeks Motel
116,Banda Aceh,ID,83.23,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
119,Corpus Christi,US,84.99,few clouds,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
121,Kavieng,PG,83.64,clear sky,-2.57,150.8,Nusa Island Retreat
128,Mandalgovi,MN,65.59,overcast clouds,45.76,106.27,В.Ганбат
129,Bambous Virieux,MU,69.8,scattered clouds,-20.34,57.76,Casa Tia Villa
133,Touros,BR,73.4,few clouds,-5.2,-35.46,INN NEW HORIZON
138,Sampit,ID,84.16,clear sky,-2.53,112.95,Aquarius Boutique Hotel Sampit
