,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camana,PE,-16.62,-72.71,59.86,82,88,8.66,overcast clouds
1,Atuona,PF,-9.8,-139.03,78.37,77,16,14.97,few clouds
2,Bose,IT,45.46,8.01,66.99,78,95,5.55,overcast clouds
3,Hofn,IS,64.25,-15.21,44.6,93,90,3.36,overcast clouds
4,Houma,US,29.6,-90.72,80.01,83,1,3.36,clear sky
5,Saldanha,ZA,-33.01,17.94,48.2,87,5,1.12,clear sky
6,Huarmey,PE,-10.07,-78.15,60.39,85,13,8.75,few clouds
7,Padang,ID,-0.95,100.35,83.73,64,59,2.42,broken clouds
8,Hilo,US,19.73,-155.09,84.2,66,90,6.93,overcast clouds
9,Babakan,ID,-7.28,107.22,80.89,59,2,2.93,clear sky
10,Rabat,MA,33.99,-6.84,73.4,94,75,3.06,broken clouds
11,Yaan,NG,7.38,8.57,68.07,96,97,1.97,overcast clouds
12,Kodiak,US,57.79,-152.41,66.2,45,90,8.05,overcast clouds
13,Ilulissat,GL,69.22,-51.1,39.2,93,78,0.92,broken clouds
14,Hobart,AU,-42.88,147.33,53.01,53,40,16.11,scattered clouds
15,Mataura,NZ,-46.19,168.86,45.0,69,67,11.01,light rain
16,Tuktoyaktuk,CA,69.45,-133.04,57.2,76,20,13.87,few clouds
17,Kapaa,US,22.08,-159.32,86.0,66,40,10.29,scattered clouds
18,Souillac,MU,-20.52,57.52,69.8,73,40,10.29,scattered clouds
19,Hithadhoo,MV,-0.6,73.08,83.21,66,95,2.53,overcast clouds
20,Avera,US,33.19,-82.53,75.2,95,90,6.93,thunderstorm
21,Butaritari,KI,3.07,172.79,81.95,72,100,10.29,overcast clouds
22,Waingapu,ID,-9.66,120.26,84.16,51,0,17.34,clear sky
23,Lazaro Cardenas,MX,17.96,-102.2,80.44,81,100,3.87,overcast clouds
24,Rathenow,DE,52.61,12.34,57.0,89,1,7.05,clear sky
25,Adrar,MR,20.5,-10.07,92.89,31,0,18.59,clear sky
26,Chuy,UY,-33.7,-53.46,57.13,86,0,13.58,clear sky
27,Banamba,ML,13.55,-7.45,74.91,85,88,5.73,moderate rain
28,Punta Arenas,CL,-53.15,-70.92,33.01,86,0,11.41,clear sky
29,Jamestown,US,42.1,-79.24,73.4,73,1,3.36,clear sky
30,Puerto Escondido,MX,15.85,-97.07,77.0,65,90,15.01,overcast clouds
31,Matay,EG,28.42,30.78,75.88,44,0,7.36,clear sky
32,Vao,NC,-22.67,167.48,69.15,65,0,13.35,clear sky
33,Kaitangata,NZ,-46.28,169.85,41.0,78,24,8.99,few clouds
34,Albany,US,42.6,-73.97,75.0,81,2,1.99,clear sky
35,Belmonte,BR,-15.86,-38.88,66.2,77,75,5.82,broken clouds
36,Saint George,US,37.1,-113.58,102.2,12,1,9.17,light rain
37,Uruzgan,AF,32.83,66.0,72.18,22,0,5.06,clear sky
38,Cape Town,ZA,-33.93,18.42,48.2,93,100,4.7,overcast clouds
39,Xichang,CN,27.9,102.26,69.66,60,23,1.68,few clouds
40,Half Moon Bay,US,37.46,-122.43,80.6,93,90,5.17,mist
41,Makakilo City,US,21.35,-158.09,89.6,46,75,6.93,broken clouds
42,Longyearbyen,SJ,78.22,15.64,35.6,80,34,10.29,scattered clouds
43,Avarua,CK,-21.21,-159.78,77.0,69,79,12.75,broken clouds
44,Port Elizabeth,ZA,-33.92,25.57,60.8,93,90,12.75,light rain
45,Huilong,CN,31.81,121.66,91.99,65,5,1.99,clear sky
46,Qaanaaq,GL,77.48,-69.36,33.98,91,100,8.41,overcast clouds
47,Pacific Grove,US,36.62,-121.92,64.4,77,90,5.82,haze
48,Saskylakh,RU,71.92,114.08,55.33,53,94,15.19,overcast clouds
49,Asau,RO,46.43,26.4,61.0,99,97,0.4,light rain
50,Bengkulu,ID,-3.8,102.27,82.49,63,100,5.66,overcast clouds
51,Upernavik,GL,72.79,-56.15,42.8,89,100,2.42,light rain
52,Vaini,TO,-21.2,-175.2,80.6,74,20,10.29,few clouds
53,Usogorsk,RU,63.41,48.69,52.79,95,1,4.54,clear sky
54,Joshimath,IN,30.57,79.57,73.02,50,55,0.47,broken clouds
55,Ushuaia,AR,-54.8,-68.3,33.8,74,40,5.82,scattered clouds
56,Narsaq,GL,60.92,-46.05,46.4,75,23,3.36,few clouds
57,Carnarvon,AU,-24.87,113.63,66.2,77,0,14.99,clear sky
58,Sitka,US,57.05,-135.33,55.4,87,90,8.05,overcast clouds
59,Cayenne,GF,4.93,-52.33,78.8,88,20,3.36,few clouds
60,Rikitea,PF,-23.12,-134.97,72.12,88,0,12.95,light rain
61,Kijang,KR,35.24,129.21,87.8,66,17,3.36,few clouds
62,Cedar Lake,US,41.36,-87.44,81.0,65,1,3.36,clear sky
63,Kikwit,CD,-5.04,18.82,75.31,77,0,1.9,light rain
