City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-08-23 16:47:06,-23.12,-134.97,69.44,83,84,22.28
1,Pochutla,MX,2020-08-23 16:47:06,15.74,-96.47,82.99,78,90,4.94
2,Mundo Nuevo,MX,2020-08-23 16:47:06,18.7,-95.5,82.71,79,27,5.44
3,Hobart,AU,2020-08-23 16:44:39,-42.88,147.33,41.0,75,40,6.93
4,Provideniya,RU,2020-08-23 16:47:06,64.38,-173.3,49.78,91,98,4.7
5,Busselton,AU,2020-08-23 16:47:06,-33.65,115.33,46.0,76,1,4.83
6,Iqaluit,CA,2020-08-23 16:47:07,63.75,-68.51,46.4,75,75,4.7
7,Coihaique,CL,2020-08-23 16:47:07,-45.58,-72.07,39.2,86,90,6.93
8,Faanui,PF,2020-08-23 16:47:07,-16.48,-151.75,76.48,76,1,19.6
9,Mastic Beach,US,2020-08-23 16:43:23,40.77,-72.85,81.0,74,1,5.82
10,Petropavlovsk-Kamchatskiy,RU,2020-08-23 16:47:07,53.05,158.65,50.0,100,75,2.24
11,Dikson,RU,2020-08-23 16:47:07,73.51,80.55,46.54,78,0,9.64
12,Semnan,IR,2020-08-23 16:47:08,35.57,53.4,91.4,15,0,2.24
13,Bluff,NZ,2020-08-23 16:47:08,-46.6,168.33,45.0,90,32,5.01
14,Nexo,DK,2020-08-23 16:47:08,55.06,15.13,68.0,68,0,23.04
15,Cape Town,ZA,2020-08-23 16:46:08,-33.93,18.42,63.0,82,20,9.17
16,Albany,US,2020-08-23 16:45:03,42.6,-73.97,86.0,61,0,4.29
17,Zverinogolovskoye,RU,2020-08-23 16:47:08,54.46,64.85,55.54,92,100,5.86
18,Binzhou,CN,2020-08-23 16:47:08,37.37,118.02,84.0,76,81,8.28
19,Mattru,SL,2020-08-23 16:47:09,7.62,-11.83,77.61,90,99,6.02
20,Lorengau,PG,2020-08-23 16:47:09,-2.02,147.27,78.15,84,100,8.48
21,Qaanaaq,GL,2020-08-23 16:47:09,77.48,-69.36,37.38,85,100,1.21
22,Arraial Do Cabo,BR,2020-08-23 16:47:09,-22.97,-42.03,73.4,60,40,8.05
23,Ushuaia,AR,2020-08-23 16:47:09,-54.8,-68.3,35.6,74,40,11.41
24,Tuatapere,NZ,2020-08-23 16:47:09,-46.13,167.68,45.0,90,60,5.01
25,Chuka,KE,2020-08-23 16:47:09,-0.33,37.65,68.2,57,100,4.29
26,Punta Arenas,CL,2020-08-23 16:45:02,-53.15,-70.92,37.4,59,20,26.4
27,Guerrero Negro,MX,2020-08-23 16:46:05,27.98,-114.06,81.36,54,88,15.32
28,San Carlos De Bariloche,AR,2020-08-23 16:46:20,-41.15,-71.31,50.0,66,75,23.04
29,Honiara,SB,2020-08-23 16:46:27,-9.43,159.95,73.4,100,75,3.36
30,Vaini,TO,2020-08-23 16:47:10,-21.2,-175.2,73.4,94,20,8.05
31,Gribanovskiy,RU,2020-08-23 16:47:10,51.46,41.98,66.99,51,0,4.94
32,Harper,LR,2020-08-23 16:47:10,4.38,-7.72,77.7,77,73,11.43
33,Upernavik,GL,2020-08-23 16:47:11,72.79,-56.15,44.82,82,83,9.1
34,Shingu,JP,2020-08-23 16:47:11,33.73,135.98,75.38,89,100,3.62
35,Nara,JP,2020-08-23 16:47:11,34.69,135.8,84.0,49,75,2.21
36,Tianpeng,CN,2020-08-23 16:43:21,30.99,103.94,73.0,99,100,8.88
37,Ostrovnoy,RU,2020-08-23 16:47:11,68.05,39.51,58.28,89,100,20.09
38,Saskylakh,RU,2020-08-23 16:47:11,71.92,114.08,41.79,80,0,7.74
39,Teya,RU,2020-08-23 16:47:11,60.38,92.63,51.13,88,9,2.68
40,Marawi,PH,2020-08-23 16:47:11,8.0,124.29,77.0,90,42,5.01
41,Westport,US,2020-08-23 16:43:57,41.14,-73.36,86.0,69,1,6.93
42,Mataura,NZ,2020-08-23 16:47:12,-46.19,168.86,45.0,90,46,5.01
43,Bilma,NE,2020-08-23 16:47:12,18.69,12.92,96.87,32,68,14.12
44,Kodiak,US,2020-08-23 16:47:12,57.79,-152.41,55.4,87,90,3.36
45,Esperance,AU,2020-08-23 16:47:12,-33.87,121.9,50.0,100,90,5.82
46,Aklavik,CA,2020-08-23 16:47:12,68.22,-135.01,55.4,87,75,5.82
47,Las Juntas,MX,2020-08-23 16:47:12,19.42,-104.7,84.2,83,75,6.93
48,Mahebourg,MU,2020-08-23 16:47:13,-20.41,57.7,71.6,73,40,16.11
49,Pevek,RU,2020-08-23 16:47:13,69.7,170.31,37.31,97,100,3.6
50,Pangnirtung,CA,2020-08-23 16:47:13,66.15,-65.71,42.8,93,90,10.29
51,Port Alfred,ZA,2020-08-23 16:47:14,-33.59,26.89,59.49,81,1,9.35
52,Ancud,CL,2020-08-23 16:47:14,-41.87,-73.82,51.01,100,90,14.99
53,Hermanus,ZA,2020-08-23 16:47:14,-34.42,19.23,57.99,91,100,1.01
54,Atar,MR,2020-08-23 16:47:14,20.52,-13.05,112.59,9,19,8.75
55,Nhulunbuy,AU,2020-08-23 16:47:14,-12.23,136.77,68.0,72,0,4.7
56,Coquimbo,CL,2020-08-23 16:47:14,-29.95,-71.34,57.2,62,40,10.29
57,Kruisfontein,ZA,2020-08-23 16:47:14,-34.0,24.73,59.0,79,19,4.0
58,Yar-Sale,RU,2020-08-23 16:47:15,66.83,70.83,53.29,92,56,11.97
59,Cidreira,BR,2020-08-23 16:47:15,-30.18,-50.21,62.67,65,0,14.99
60,Port Macquarie,AU,2020-08-23 16:47:15,-31.43,152.92,50.0,51,0,13.65
61,Yenagoa,NG,2020-08-23 16:47:15,4.92,6.26,78.17,80,100,6.67
62,Bethel,US,2020-08-23 16:47:15,41.37,-73.41,86.0,62,1,5.82
63,Yellowknife,CA,2020-08-23 16:47:01,62.46,-114.35,55.99,71,40,8.05
64,Jamestown,US,2020-08-23 16:47:15,42.1,-79.24,75.99,88,75,5.01
65,Saldanha,ZA,2020-08-23 16:47:16,-33.01,17.94,62.6,67,100,9.17
66,Cabra,ES,2020-08-23 16:47:16,37.47,-4.44,99.0,15,0,4.0
67,Alice Springs,AU,2020-08-23 16:47:16,-23.7,133.88,51.8,40,0,4.7
68,Kununurra,AU,2020-08-23 16:47:16,-15.77,128.73,62.6,24,1,7.25
69,Gat,IL,2020-08-23 16:47:16,31.61,34.76,84.99,43,0,8.08
70,Kapaa,US,2020-08-23 16:47:16,22.08,-159.32,78.8,83,90,9.17
71,Bengkulu,ID,2020-08-23 16:47:16,-3.8,102.27,76.82,88,96,4.16
72,Athabasca,CA,2020-08-23 16:47:17,54.72,-113.29,62.96,54,18,11.61
73,Yuba City,US,2020-08-23 16:45:30,39.14,-121.62,80.01,44,1,0.81
74,Laguna,US,2020-08-23 16:47:17,38.42,-121.42,78.01,56,1,4.7
75,Georgetown,MY,2020-08-23 16:46:45,5.41,100.34,84.2,88,20,3.36
76,Ilulissat,GL,2020-08-23 16:47:17,69.22,-51.1,46.4,52,3,3.36
77,Adrar,MR,2020-08-23 16:47:17,20.5,-10.07,112.08,6,92,11.05
78,Hobyo,SO,2020-08-23 16:47:17,5.35,48.53,76.26,77,45,25.57
79,Castro,BR,2020-08-23 16:47:17,-24.79,-50.01,58.14,68,33,10.85
80,Tessalit,ML,2020-08-23 16:47:18,20.2,1.01,103.21,19,25,12.15
81,Broome,US,2020-08-23 16:47:18,42.25,-75.83,88.0,54,1,9.17
82,Vitim,RU,2020-08-23 16:47:18,59.45,112.56,52.3,67,0,5.88
83,Torbay,CA,2020-08-23 16:47:18,47.67,-52.73,71.01,45,20,10.29
84,Sao Joao Da Barra,BR,2020-08-23 16:47:18,-21.64,-41.05,75.2,50,75,11.41
85,Wattegama,LK,2020-08-23 16:47:18,6.8,81.48,80.6,94,20,9.17
86,Saint-Philippe,RE,2020-08-23 16:47:18,-21.36,55.77,68.0,72,25,2.24
87,Katangli,RU,2020-08-23 16:47:19,51.71,143.23,47.73,99,41,1.95
88,Tuktoyaktuk,CA,2020-08-23 16:47:19,69.45,-133.04,55.4,82,20,8.05
89,Constitucion,CL,2020-08-23 16:47:19,-35.33,-72.42,53.35,75,100,21.34
90,Santa Fe,AR,2020-08-23 16:43:42,-31.63,-60.7,72.0,30,0,8.01
91,Souillac,MU,2020-08-23 16:47:19,-20.52,57.52,71.6,73,40,16.11
92,Kidal,ML,2020-08-23 16:47:19,18.44,1.41,100.4,23,3,8.3
93,Porto Novo,BJ,2020-08-23 16:47:19,6.5,2.6,80.6,78,40,14.99
94,Ixtapa,MX,2020-08-23 16:47:19,20.7,-105.2,87.01,74,20,6.93
95,Atuona,PF,2020-08-23 16:47:20,-9.8,-139.03,78.1,77,10,15.88
96,Ocosingo,MX,2020-08-23 16:47:20,17.07,-92.25,80.6,88,40,1.88
97,Yugorsk,RU,2020-08-23 16:47:20,61.31,63.33,52.77,86,19,6.04
98,Weligama,LK,2020-08-23 16:47:20,5.97,80.42,79.21,86,13,5.19
99,Macklin,CA,2020-08-23 16:47:20,52.33,-109.93,65.52,59,86,1.68
100,Buraydah,SA,2020-08-23 16:47:20,26.33,43.98,104.0,19,0,4.7
101,Isangel,VU,2020-08-23 16:47:21,-19.55,169.27,74.61,87,4,3.36
102,Banfora,BF,2020-08-23 16:47:21,10.63,-4.77,81.79,77,14,7.27
103,Chokurdakh,RU,2020-08-23 16:47:21,70.63,147.92,32.0,98,96,8.23
104,Kavieng,PG,2020-08-23 16:47:21,-2.57,150.8,77.45,90,100,10.16
105,San Cristobal,VE,2020-08-23 16:44:32,7.77,-72.22,80.6,69,75,9.17
106,Airai,TL,2020-08-23 16:47:21,-8.93,125.41,57.02,37,60,4.14
107,Mangrol,IN,2020-08-23 16:47:21,21.12,70.12,80.69,87,100,18.19
108,Tias,ES,2020-08-23 16:47:21,28.96,-13.64,84.2,58,0,32.21
109,Klyuchi,RU,2020-08-23 16:47:22,52.27,79.17,64.0,52,79,4.68
110,Gillette,US,2020-08-23 16:47:22,44.29,-105.5,81.0,30,1,3.36
111,Batticaloa,LK,2020-08-23 16:47:22,7.71,81.69,82.58,74,34,9.24
112,Udachnyy,RU,2020-08-23 16:47:22,66.42,112.4,45.95,59,0,2.19
113,Asau,RO,2020-08-23 16:47:22,46.43,26.4,75.99,67,10,2.91
114,Kaberamaido,UG,2020-08-23 16:47:23,1.74,33.16,72.36,72,72,4.76
115,Terrace,CA,2020-08-23 16:47:23,54.52,-128.6,53.6,93,90,2.24
116,Benito Juarez,MX,2020-08-23 16:47:23,19.39,-99.17,64.4,55,40,5.82
117,Nikolayevsk-Na-Amure,RU,2020-08-23 16:47:23,53.14,140.73,47.03,66,7,1.52
118,Thunder Bay,CA,2020-08-23 16:44:59,48.4,-89.32,68.0,100,90,5.82
119,Vestmannaeyjar,IS,2020-08-23 16:47:23,63.44,-20.27,55.4,66,91,9.17
120,Mehamn,NO,2020-08-23 16:47:23,71.04,27.85,66.2,72,63,10.29
121,Bredasdorp,ZA,2020-08-23 16:47:23,-34.53,20.04,59.0,87,100,11.41
122,Barrow,US,2020-08-23 16:46:35,71.29,-156.79,37.4,93,90,13.87
123,San Quintin,MX,2020-08-23 16:46:04,30.48,-115.95,77.54,65,0,5.48
124,Saint George,US,2020-08-23 16:45:38,37.1,-113.58,93.0,33,1,2.91
125,Kandrian,PG,2020-08-23 16:47:24,-6.22,149.55,77.11,83,100,11.56
126,Victoria,HK,2020-08-23 16:45:56,22.29,114.16,84.0,74,100,8.01
127,Jamame,SO,2020-08-23 16:47:24,0.07,42.75,75.74,77,68,10.07
128,Hilo,US,2020-08-23 16:45:37,19.73,-155.09,75.2,83,75,3.62
129,Outlook,CA,2020-08-23 16:47:25,51.5,-107.05,71.01,37,42,4.32
130,Boa Vista,BR,2020-08-23 16:47:25,2.82,-60.67,82.4,65,40,9.17
131,Pareora,NZ,2020-08-23 16:47:25,-44.49,171.21,50.0,97,99,8.21
132,Brae,GB,2020-08-23 16:47:25,60.4,-1.35,51.8,71,75,14.99
133,Tilichiki,RU,2020-08-23 16:47:25,60.47,166.1,43.63,91,96,8.55
134,Ullapool,GB,2020-08-23 16:47:26,57.9,-5.16,54.0,75,99,1.99
135,Talnakh,RU,2020-08-23 16:47:20,69.49,88.4,57.2,93,100,6.71
136,Atambua,ID,2020-08-23 16:47:26,-9.11,124.89,67.23,73,48,5.68
137,Tres Picos,MX,2020-08-23 16:47:26,15.87,-93.53,82.04,72,78,3.78
138,Beloha,MG,2020-08-23 16:47:26,-25.17,45.05,67.89,81,1,9.37
139,Atraulia,IN,2020-08-23 16:47:26,26.33,82.95,78.8,100,40,2.24
140,Port Lincoln,AU,2020-08-23 16:47:26,-34.73,135.87,47.39,81,64,3.96
141,Henties Bay,NA,2020-08-23 16:47:27,-22.12,14.28,64.0,76,0,1.99
142,Alofi,NU,2020-08-23 16:47:27,-19.06,-169.92,73.4,88,72,8.05
143,Yulara,AU,2020-08-23 16:47:27,-25.24,130.99,62.6,36,0,10.29
144,Luderitz,NA,2020-08-23 16:47:27,-26.65,15.16,61.02,67,0,15.37
145,Maniitsoq,GL,2020-08-23 16:47:27,65.42,-52.9,46.18,86,47,5.17
146,Chhatak,BD,2020-08-23 16:47:27,25.03,91.67,80.28,87,68,3.47
147,Sychevka,RU,2020-08-23 16:47:28,55.83,34.27,64.02,79,100,9.1
148,Sur,OM,2020-08-23 16:47:28,22.57,59.53,80.64,75,95,13.24
149,Manaure,CO,2020-08-23 16:47:28,11.78,-72.44,85.87,64,43,8.03
150,Abnub,EG,2020-08-23 16:47:28,27.27,31.15,89.6,29,0,9.17
151,Olafsvik,IS,2020-08-23 16:47:28,64.89,-23.71,52.39,64,33,7.58
152,Cherskiy,RU,2020-08-23 16:47:28,68.75,161.3,38.28,94,100,13.82
